,Year,CO2,N2O,Methane,HCFC,Temp
0,1990,-0.5192238699267286,-0.07239179610300826,0.5277257461546627,-0.49792338636835404,-0.4045178165601825
1,1991,-0.5666923170272108,-0.3402715552229781,0.5717927886687365,-0.5383181603308881,0.23655675142575242
2,1992,-0.46706295535896875,-0.13003156403050217,0.569513689738705,-0.48807337322905253,0.24996741134599626
3,1993,-0.35884114230821046,0.30565495380661056,0.3923747957487252,-0.48744544759465674,-0.43873590326315337
4,1994,-0.2711802081774611,-0.17169519214602838,0.48053806947825434,-0.43774430745577775,-0.2580296728270659
5,1995,-0.2105799430693334,0.3078413902280089,0.44578950075374696,-0.28182459142403016,-0.27562111401740996
6,1996,-0.03237747487830286,0.5286566967242377,0.366236307965421,-0.2108488056410528,-0.18258265082972475
7,1997,0.038409460470073764,0.0888798994185865,0.15795816060996157,-0.12790741782722134,-0.3482702285493769
8,1998,0.0759144893571461,0.659728444777022,0.028283580791894764,0.03283317507581005,-0.27237296856910204
9,1999,0.14615035013952907,-0.20695892000592558,-0.1708440130103254,0.003794483402485299,0.43006260451953165
10,2000,0.3101271799984246,-0.20026339238471244,-0.2537428385013669,0.047025780004691854,0.1748419879078933
11,2001,0.21751146262518525,-0.2552383637543504,-0.3202340402287699,0.006402056233681097,-0.285751468633421
12,2002,0.2565294559074037,-0.21303709881889543,-0.4082000538765126,0.05986824948562269,0.08546974829552684
13,2003,0.3005334654943834,-0.19032980627742785,-0.37737047756628683,-0.010379757627750192,0.20941383302602795
14,2004,0.4089489950044758,0.5188751736908376,-0.42820721133126344,0.07098452177980558,-0.33711075854380224
15,2005,0.43330768297278927,-0.302186235959721,-0.255374643718932,0.08817382301341514,-0.12350499549762074
16,2006,0.35735011221306573,0.029243973246435545,-0.22454212547505523,0.12280064143962992,-0.010849020196390504
17,2007,0.43227470913890464,0.26545185749750927,-0.13591877384559772,0.2211365138166148,0.31248617126195216
18,2008,0.24467786262786567,-0.32270135923095344,0.04308826767166243,0.2568173426031612,-0.03172076669096533
19,2009,-0.1664146020461605,-0.25057555994793607,-0.005851036629165453,0.2433234983240257,-0.02618927147206469
20,2010,0.02305699582363337,0.03581323254992529,-0.18531864213242832,0.326725160023641,-0.21908408730328907
21,2011,-0.09912127185390938,0.20021220929793193,-0.2544392602207199,0.3651859715528716,0.2500960507696918
22,2012,-0.29790499921802743,0.008570563883438544,-0.2963328815073377,0.3752981141977195,0.21716435830367425
23,2013,-0.15296259397307083,-0.1486327071814402,-0.19828529043589105,0.39841407687650077,0.487017709360662
24,2014,-0.10243084393546552,-0.14461484405670152,-0.06863961910212939,0.46168183966911197,0.5612640967368466
